time|deviceName|process|description|processName|timeWindow|numberOfOccurrence|processId
00:01:58|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12513+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
00:01:58|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12513+AF0-| Service exited with abnormal code: 78||||
00:02:12|BBAOMACBOOKAIR2|(com.apple.xpc.launchd.domain.pid.mdmclient+AFs-12523+AF0-| Failed to bootstrap path: path +AD0- /usr/libexec/mdmclient, error +AD0- 108: Invalid path||||
00:04:20|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-| ASL Sender Statistics||||
00:05:58|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12535+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
00:05:58|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12535+AF0-| Service exited with abnormal code: 78||||
00:09:58|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12536+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
00:09:58|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12536+AF0-| Service exited with abnormal code: 78||||
00:17:59|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12555+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
00:17:59|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12555+AF0-| Service exited with abnormal code: 78||||
00:17:59|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-| ASL Sender Statistics||||
00:19:59|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12556+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
00:19:59|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12556+AF0-| Service exited with abnormal code: 78||||
00:21:59|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12560+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
00:21:59|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12560+AF0-| Service exited with abnormal code: 78||||
00:22:18|BBAOMACBOOKAIR2|(com.apple.xpc.launchd.domain.user.914945058|+ACI- Service +ACIAIg-com.apple.xpc.launchd.unmanaged.loginwindow.594+ACIAIg- tried to register for endpoint +ACIAIg-com.apple.tsm.uiserver+ACIAIg- already registered by owner: com.apple.TextInputMenuAgent+ACI-||||
00:23:50|BBAOMACBOOKAIR2|timed+AFs-158+AF0-| settimeofday(+AHs-0x5ebacd96,0x52ddf+AH0-) +AD0APQ- 0||||
00:28:05|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-| ASL Sender Statistics||||
00:28:07|BBAOMACBOOKAIR2|(com.apple.ScreenSaver.Computer+AC0-Name+AFs-12564+AF0-| Service exited due to SIGKILL  sent by Computer Name+AFs-12564+AF0-||||
00:28:17|BBAOMACBOOKAIR2|VTDecoderXPCService+AFs-960+AF0-| DEPRECATED USE in libdispatch client: Changing the target of a source after it has been activated+ADs- set a breakpoint on +AF8-dispatch+AF8-bug+AF8-deprecated to debug||||
00:28:17|BBAOMACBOOKAIR2|VTDecoderXPCService+AFs-960+AF0-| DEPRECATED USE in libdispatch client: Changing target queue hierarchy after xpc connection was activated+ADs- set a breakpoint on +AF8-dispatch+AF8-bug+AF8-deprecated to debug||||
00:28:18|BBAOMACBOOKAIR2|VTDecoderXPCService+AFs-960+AF0-| DEPRECATED USE in libdispatch client: Changing the target of a source after it has been activated+ADs- set a breakpoint on +AF8-dispatch+AF8-bug+AF8-deprecated to debug||||
00:28:18|BBAOMACBOOKAIR2|VTDecoderXPCService+AFs-960+AF0-| DEPRECATED USE in libdispatch client: Changing target queue hierarchy after xpc connection was activated+ADs- set a breakpoint on +AF8-dispatch+AF8-bug+AF8-deprecated to debug||||
00:28:19|BBAOMACBOOKAIR2|VTDecoderXPCService+AFs-960+AF0-| DEPRECATED USE in libdispatch client: Changing the target of a source after it has been activated+ADs- set a breakpoint on +AF8-dispatch+AF8-bug+AF8-deprecated to debug||||
00:28:19|BBAOMACBOOKAIR2|VTDecoderXPCService+AFs-960+AF0-| DEPRECATED USE in libdispatch client: Changing target queue hierarchy after xpc connection was activated+ADs- set a breakpoint on +AF8-dispatch+AF8-bug+AF8-deprecated to debug||||
00:28:20|BBAOMACBOOKAIR2|VTDecoderXPCService+AFs-960+AF0-| DEPRECATED USE in libdispatch client: Changing the target of a source after it has been activated+ADs- set a breakpoint on +AF8-dispatch+AF8-bug+AF8-deprecated to debug||||
00:28:20|BBAOMACBOOKAIR2|VTDecoderXPCService+AFs-960+AF0-| DEPRECATED USE in libdispatch client: Changing target queue hierarchy after xpc connection was activated+ADs- set a breakpoint on +AF8-dispatch+AF8-bug+AF8-deprecated to debug||||
00:28:26|BBAOMACBOOKAIR2|(com.apple.preference.displays.MirrorDisplays| Service only ran for 9 seconds. Pushing respawn out by 1 seconds.||||
00:28:31|BBAOMACBOOKAIR2|(com.apple.preference.displays.MirrorDisplays| Service only ran for 4 seconds. Pushing respawn out by 6 seconds.||||
00:29:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12610+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
00:29:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12610+AF0-| Service exited with abnormal code: 78||||
00:30:00|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-|+ACI- Configuration Notice:ASL Module +ACIAIg-com.apple.cdscheduler+ACIAIg- claims selected messages.Those messages may not appear in standard system log files or in the ASL database.+ACI-||||
00:30:00|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-|+ACI- Configuration Notice:ASL Module +ACIAIg-com.apple.install+ACIAIg- claims selected messages.Those messages may not appear in standard system log files or in the ASL database.+ACI-||||
00:30:00|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-|+ACI- Configuration Notice:ASL Module +ACIAIg-com.apple.callhistory.asl.conf+ACIAIg- claims selected messages.Those messages may not appear in standard system log files or in the ASL database.+ACI-||||
00:30:00|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-|+ACI- Configuration Notice:ASL Module +ACIAIg-com.apple.authd+ACIAIg- sharing output destination +ACIAIg-/var/log/asl+ACIAIg- with ASL Module +ACIAIg-com.apple.asl+ACIAIg-.Output parameters from ASL Module +ACIAIg-com.apple.asl+ACIAIg- override any specified in ASL Module +ACIAIg-com.apple.authd+ACIAIg-.+ACI-||||
00:30:00|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-|+ACI- Configuration Notice:ASL Module +ACIAIg-com.apple.authd+ACIAIg- sharing output destination +ACIAIg-/var/log/system.log+ACIAIg- with ASL Module +ACIAIg-com.apple.asl+ACIAIg-.Output parameters from ASL Module +ACIAIg-com.apple.asl+ACIAIg- override any specified in ASL Module +ACIAIg-com.apple.authd+ACIAIg-.+ACI-||||
00:30:00|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-|+ACI- Configuration Notice:ASL Module +ACIAIg-com.apple.authd+ACIAIg- claims selected messages.Those messages may not appear in standard system log files or in the ASL database.+ACI-||||
00:30:00|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-|+ACI- Configuration Notice:ASL Module +ACIAIg-com.apple.eventmonitor+ACIAIg- claims selected messages.Those messages may not appear in standard system log files or in the ASL database.+ACI-||||
00:30:00|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-|+ACI- Configuration Notice:ASL Module +ACIAIg-com.apple.mail+ACIAIg- claims selected messages.Those messages may not appear in standard system log files or in the ASL database.+ACI-||||
00:30:00|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-|+ACI- Configuration Notice:ASL Module +ACIAIg-com.apple.performance+ACIAIg- claims selected messages.Those messages may not appear in standard system log files or in the ASL database.+ACI-||||
00:30:00|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-|+ACI- Configuration Notice:ASL Module +ACIAIg-com.apple.iokit.power+ACIAIg- claims selected messages.Those messages may not appear in standard system log files or in the ASL database.+ACI-||||
00:30:00|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-|+ACI- Configuration Notice:ASL Module +ACIAIg-com.apple.contacts.ContactsAutocomplete+ACIAIg- claims selected messages.Those messages may not appear in standard system log files or in the ASL database.+ACI-||||
00:30:00|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-|+ACI- Configuration Notice:ASL Module +ACIAIg-com.apple.mkb+ACIAIg- sharing output destination +ACIAIg-/private/var/log/keybagd.log+ACIAIg- with ASL Module +ACIAIg-com.apple.mkb.internal+ACIAIg-.Output parameters from ASL Module +ACIAIg-com.apple.mkb.internal+ACIAIg- override any specified in ASL Module +ACIAIg-com.apple.mkb+ACIAIg-.+ACI-||||
00:30:00|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-|+ACI- Configuration Notice:ASL Module +ACIAIg-com.apple.mkb+ACIAIg- claims selected messages.Those messages may not appear in standard system log files or in the ASL database.+ACI-||||
00:30:00|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-|+ACI- Configuration Notice:ASL Module +ACIAIg-com.apple.AddressBookLegacy+ACIAIg- claims selected messages.Those messages may not appear in standard system log files or in the ASL database.+ACI-||||
00:30:00|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-|+ACI- Configuration Notice:ASL Module +ACIAIg-com.apple.MessageTracer+ACIAIg- claims selected messages.Those messages may not appear in standard system log files or in the ASL database.+ACI-||||
00:30:00|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-|+ACI- Configuration Notice:ASL Module +ACIAIg-com.apple.clouddocs+ACIAIg- claims selected messages.Those messages may not appear in standard system log files or in the ASL database.+ACI-||||
00:31:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12622+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
00:31:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12622+AF0-| Service exited with abnormal code: 78||||
00:35:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12633+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
00:35:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12633+AF0-| Service exited with abnormal code: 78||||
00:37:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12636+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
00:37:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12636+AF0-| Service exited with abnormal code: 78||||
00:38:49|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-| ASL Sender Statistics||||
00:39:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12637+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
00:39:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12637+AF0-| Service exited with abnormal code: 78||||
00:41:23|BBAOMACBOOKAIR2|(com.getdropbox.dropbox.garcon.D76DE9B6+AC0-65F5+AC0-4137+AC0-A769+AC0-B939851480C9+AFs-12642+AF0-| Caller wanted oneshot behavior for pre+AC0-existing instance: caller +AD0- Preview||||
00:41:23|BBAOMACBOOKAIR2|Preview+AFs-12641+AF0-| assertion failed: 19E287: libxpc.dylib  92807 +AFs-32B0E31E+AC0-9DA3+AC0-328B+AC0-A962+AC0-BC9591B93537+AF0- 0x89||||
00:42:40|BBAOMACBOOKAIR2|xpcproxy+AFs-12662+AF0-| libcoreservices: +AF8-dirhelper+AF8-userdir: 557: bootstrap+AF8-look+AF8-up returned (ipc/send) invalid destination port||||
