deviceName,processName,processId,description,timeWindow,numberOfOccurrence
BBAOMACBOOKAIR2,AMPDeviceDiscoveryAgent,976,tid:9427 - Can't handle disconnect with invalid ecid,1200-1300,41
BBAOMACBOOKAIR2,AMPDeviceDiscoveryAgent,976,tid:9427 - Mux ID not found in mapping dictionary,1200-1300,41
BBAOMACBOOKAIR2,AMPDeviceDiscoveryAgent,976,tid:8813 - Mux ID not found in mapping dictionary,0800-0900,40
BBAOMACBOOKAIR2,AMPDeviceDiscoveryAgent,976,tid:8813 - Can't handle disconnect with invalid ecid,0800-0900,40
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,"Failed to bootstrap path: path = /usr/sbin/networksetup, error = 2: No such file or directory",2200-2300,24
BBAOMACBOOKAIR2,AMPDeviceDiscoveryAgent,976,tid:9427 - Can't handle disconnect with invalid ecid,1300-1400,21
BBAOMACBOOKAIR2,AMPDeviceDiscoveryAgent,976,tid:9427 - Mux ID not found in mapping dictionary,1300-1400,21
BBAOMACBOOKAIR2,AMPDeviceDiscoveryAgent,976,tid:877b - Mux ID not found in mapping dictionary,1400-1500,20
BBAOMACBOOKAIR2,AMPDeviceDiscoveryAgent,976,tid:877b - Can't handle disconnect with invalid ecid,1400-1500,20
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Service exited with abnormal code: 78,1700-1800,19
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Service exited with abnormal code: 78,2300-2400,19
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Could not find uid associated with service: 0: Undefined error: 0 501,2300-2400,19
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Could not find uid associated with service: 0: Undefined error: 0 501,1700-1800,19
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Service exited with abnormal code: 78,0200-0300,19
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Could not find uid associated with service: 0: Undefined error: 0 501,0200-0300,19
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Could not find uid associated with service: 0: Undefined error: 0 501,1100-1200,18
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Service exited with abnormal code: 78,1100-1200,18
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Could not find uid associated with service: 0: Undefined error: 0 501,1200-1300,18
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Service exited with abnormal code: 78,1200-1300,18
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Could not find uid associated with service: 0: Undefined error: 0 501,0100-0200,17
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Service exited with abnormal code: 78,0000-0100,17
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Service exited with abnormal code: 78,0100-0200,17
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Could not find uid associated with service: 0: Undefined error: 0 501,0000-0100,17
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Could not find uid associated with service: 0: Undefined error: 0 501,1000-1100,17
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Service exited with abnormal code: 78,1600-1700,17
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Could not find uid associated with service: 0: Undefined error: 0 501,1600-1700,17
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Service exited with abnormal code: 78,1000-1100,17
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Could not find uid associated with service: 0: Undefined error: 0 501,0700-0800,16
BBAOMACBOOKAIR2,AMPDeviceDiscoveryAgent,976,tid:8813 - Mux ID not found in mapping dictionary,0900-1000,16
BBAOMACBOOKAIR2,AMPDeviceDiscoveryAgent,976,tid:8813 - Can't handle disconnect with invalid ecid,0900-1000,16
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Could not find uid associated with service: 0: Undefined error: 0 501,0300-0400,16
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Service exited with abnormal code: 78,0700-0800,16
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Service exited with abnormal code: 78,0300-0400,16
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,"Failed to bootstrap path: path = /usr/sbin/diskutil, error = 2: No such file or directory",2200-2300,16
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Service exited with abnormal code: 78,0900-1000,15
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Could not find uid associated with service: 0: Undefined error: 0 501,0800-0900,15
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Service exited with abnormal code: 78,0600-0700,15
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Could not find uid associated with service: 0: Undefined error: 0 501,1500-1600,15
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Service exited with abnormal code: 78,0500-0600,15
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Could not find uid associated with service: 0: Undefined error: 0 501,0500-0600,15
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Service exited with abnormal code: 78,0800-0900,15
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Could not find uid associated with service: 0: Undefined error: 0 501,0900-1000,15
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Service exited with abnormal code: 78,0400-0500,15
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Could not find uid associated with service: 0: Undefined error: 0 501,0400-0500,15
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Service exited with abnormal code: 78,1500-1600,15
BBAOMACBOOKAIR2,com.apple.xpc.launchd,1,Could not find uid associated with service: 0: Undefined error: 0 501,0600-0700,15
BBAOMACBOOKAIR2,AMPDeviceDiscoveryAgent,976,tid:8827 - Mux ID not found in mapping dictionary,1700-1800,14
BBAOMACBOOKAIR2,AMPDeviceDiscoveryAgent,976,tid:5b5f - Mux ID not found in mapping dictionary,1000-1100,14
BBAOMACBOOKAIR2,AMPDeviceDiscoveryAgent,976,tid:8827 - Can't handle disconnect with invalid ecid,1700-1800,14
BBAOMACBOOKAIR2,AMPDeviceDiscoveryAgent,976,tid:5b5f - Can't handle disconnect with invalid ecid,1000-1100,14
