timeWindow,deviceName,processName,processId,description,errorType,numberOfOccurrence
00,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,Could not find uid associated with service: 0:,Undefined error:,17
00,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /System/Library/PrivateFrameworks/DesktopServicesPriv.framework/Versions/A/Resources/DesktopServicesHelper, error = 2:",No such file or directory,1
00,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/mdmclient, error = 108:",Invalid path,1
00,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/remindd, error = 108:",Invalid path,1
01,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,Could not find uid associated with service: 0:,Undefined error:,17
01,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /System/Library/PrivateFrameworks/DesktopServicesPriv.framework/Versions/A/Resources/DesktopServicesHelper, error = 2:",No such file or directory,1
01,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/mdmclient, error = 108:",Invalid path,1
02,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,Could not find uid associated with service: 0:,Undefined error:,19
02,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/mdmclient, error = 108:",Invalid path,1
02,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/signpost_reporter, error = 108:",Invalid path,1
02,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/sbin/installer, error = 2:",No such file or directory,3
03,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,Could not find uid associated with service: 0:,Undefined error:,16
03,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/fud, error = 2:",No such file or directory,1
03,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/mdmclient, error = 108:",Invalid path,1
