GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HttpServer,com.wb.http_server.session,HttpSession,74,0,4,0,23,0,9,0,7,0
HttpServer,com.wb.http_server.session,IdleSessionCleaner,9,25,0,0,4,7,1,3,1,3
HttpServer,com.wb.http_server.session,IdleSessionCleaner.new ThreadFactory() {...},0,12,0,0,0,2,0,2,0,2
HttpServer,com.wb.http_server.exception.base,ServletException,9,0,0,0,4,0,2,0,2,0
HttpServer,com.wb.http_server.resource,ResourceHandler,0,10,0,0,0,4,0,2,0,2
HttpServer,com.wb.http_server.cookie,Cookie,11,15,0,0,2,3,3,3,3,3
HttpServer,com.wb.http_server.listener.event,ServletRequestEvent,7,7,0,0,2,3,2,1,2,1
HttpServer,com.wb.http_server.listener.event,HttpSessionEvent,4,4,0,0,1,2,1,1,1,1
HttpServer,com.wb.http_server.response,Response,28,210,2,6,10,40,5,13,3,11
HttpServer,com.wb.http_server.response,Header,11,15,0,0,2,3,3,3,3,3
HttpServer,com.wb.http_server.exception,ResourceNotFoundException,7,0,0,0,3,0,2,0,2,0
HttpServer,com.wb.http_server.exception,RequestInvalidException,7,0,0,0,3,0,2,0,2,0
HttpServer,com.wb.http_server.exception,ServletNotFoundException,7,0,0,0,3,0,2,0,2,0
HttpServer,com.wb.http_server.exception,RequestParseException,7,0,0,0,3,0,2,0,2,0
HttpServer,com.wb.http_server.exception,ServerErrorException,7,0,0,0,3,0,2,0,2,0
HttpServer,com.wb.http_server.request,Request,309,217,27,11,60,50,39,10,21,9
HttpServer,com.wb.http_server.network.connector,NioPoller.PollerEvent,38,0,2,0,9,0,3,0,2,0
HttpServer,com.wb.http_server.network.connector,IdleConnectionCleaner,4,51,0,2,2,14,1,5,1,4
HttpServer,com.wb.http_server.network.connector,NioAcceptor,10,42,2,2,5,13,2,3,0,3
HttpServer,com.wb.http_server.network.connector,IdleConnectionCleaner.new ThreadFactory() {...},0,12,0,0,0,2,0,2,0,2
HttpServer,com.wb.http_server.network.connector,NioPoller,270,0,28,0,77,0,24,0,10,0
HttpServer,com.wb.http_server.context.holder,ServletHolder,4,16,0,0,0,6,1,4,1,4
HttpServer,com.wb.http_server.network.handler,NioRequestHandler,91,0,4,0,25,0,6,0,4,0
HttpServer,com.wb.http_server.network.handler,AbstractRequestHandler,108,0,2,0,34,0,13,0,12,0
HttpServer,com.wb.http_server.listener,RequestAndSessionListener,36,0,0,0,11,0,6,0,6,0
HttpServer,com.wb.http_server.servlet.impl,DefaultServlet,95,0,16,0,24,0,14,0,6,0
HttpServer,com.wb.http_server.exception.handler,ExceptionHandler,54,0,2,0,15,0,4,0,3,0
HttpServer,com.wb.http_server.context,WebApplication,3,7,0,0,1,3,1,2,1,2
HttpServer,com.wb.http_server.context,ServletContext,395,0,26,0,96,0,31,0,18,0
HttpServer,com.wb.http_server.request.dispatcher.impl,ApplicationRequestDispatcher,38,0,2,0,9,0,5,0,4,0
HttpServer,com.wb.http_server.constant,CharsetProperties,3,4,0,0,1,1,1,1,1,1
HttpServer,com.wb.http_server.constant,ContextConstant,3,0,0,0,1,0,1,0,1,0
HttpServer,com.wb.http_server.constant,CharConstant,3,0,0,0,1,0,1,0,1,0
HttpServer,com.wb.http_server,BootStrap,11,0,0,0,4,0,2,0,2,0
HttpServer,com.wb.http_server.enumeration,RequestMethod,0,44,0,0,0,2,0,1,0,1
HttpServer,com.wb.http_server.enumeration,HttpStatus,0,81,0,0,0,6,0,3,0,3
HttpServer,com.wb.http_server.network.wrapper,NioSocketWrapper,68,0,2,0,21,0,13,0,12,0
HttpServer,com.wb.http_server.dispatcher,AbstractDispatcher.new ThreadFactory() {...},0,25,0,0,0,2,0,2,0,2
HttpServer,com.wb.http_server.dispatcher,AbstractDispatcher,7,40,0,0,3,7,1,1,1,1
HttpServer,com.wb.http_server.dispatcher,NioDispatcher,19,69,0,2,5,18,0,4,0,3
HttpServer,com.wb.http_server.network,HTTPServer,227,0,4,0,65,0,17,0,15,0
