GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
short-url,com.wb.shorturl.tools,Base62,48,0,4,0,11,0,6,0,4,0
short-url,com.wb.shorturl.tools,SnowFlake,86,29,12,4,17,6,11,1,3,1
short-url,com.wb.shorturl.tools,Utils,3,19,0,2,1,6,1,3,1,2
short-url,com.wb.shorturl.common.web,ApiResponse,29,38,0,0,4,7,6,6,6,6
short-url,com.wb.shorturl.controller,ShortUrlAPIController,22,31,2,4,4,6,2,3,0,2
short-url,com.wb.shorturl.controller,ShortUrlController,4,62,1,5,2,12,3,7,2,5
short-url,com.wb.shorturl.common.interceptor,AccessLimtInterceptor,115,7,14,0,25,2,8,2,1,2
short-url,com.wb.shorturl.common.interceptor,WebConfig,0,9,0,0,0,3,0,2,0,2
short-url,com.wb.shorturl.common.exception,BaseExceptionHandler,6,7,0,0,2,2,1,2,1,2
short-url,com.wb.shorturl.common.exception,BaseErrorCode,0,73,0,0,0,11,0,4,0,4
short-url,com.wb.shorturl.entity,ShortUrl,25,29,0,0,9,4,4,8,4,8
short-url,com.wb.shorturl.service.impl,ShortUrlServiceImpl,29,116,2,12,5,22,3,8,1,3
short-url,com.wb.shorturl,ShortUrlApplication,5,3,0,0,2,1,1,1,1,1
short-url,com.wb.shorturl.common.task,StorageTask,24,13,1,1,8,5,1,3,0,3
short-url,com.wb.shorturl.common.task,AsyncVo,10,0,0,0,4,0,3,0,3,0
short-url,com.wb.shorturl.common.task,TaskQueue,0,13,0,0,0,4,0,3,0,3
short-url,com.wb.shorturl.common.listener,QueueListener,0,12,0,0,0,5,0,3,0,3
short-url,com.wb.shorturl.common.config,DataSourceHealthConfig,20,0,2,0,6,0,3,0,2,0
short-url,com.wb.shorturl.common.config,RedisConfig,0,27,0,0,0,8,0,2,0,2
