GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
work,com.hongshan.work.service.imp,UrlServiceImpl,0,57,0,2,0,14,0,6,0,5
work,com.hongshan.work.controller,UrlController,0,67,0,10,0,14,0,8,0,3
work,com.hongshan.work.util,SnowflakeSequenceGenerator,0,23,0,0,0,4,0,3,0,3
work,com.hongshan.work.util,JavaSnowflake,6,93,0,0,0,21,2,4,2,4
work,com.hongshan.work.util,ConversionUtils,0,56,0,2,0,10,0,3,0,2
work,com.hongshan.work.mapper,ExpireNode,4,19,0,0,2,7,1,4,1,4
work,com.hongshan.work.mapper,HashMapUrlMap,4,51,0,4,1,12,1,6,1,4
work,com.hongshan.work.mapper,ExpireMap.IntervalCleanTask,0,40,1,3,0,11,1,4,0,3
work,com.hongshan.work.mapper,ExpireMap,0,35,0,2,0,8,0,4,0,3
work,com.hongshan.work.view,Result,0,44,0,0,0,11,0,7,0,7
work,com.hongshan.work.config,SwaggerConfig,0,29,0,0,0,9,0,3,0,3
work,com.hongshan.work.config,SequenceGeneratorAutoConfiguration,0,15,0,0,0,4,0,2,0,2
work,com.hongshan.work.config,ApplicationConfiguration,0,80,0,0,0,10,0,4,0,4
work,com.hongshan.work,WorkApplication,5,3,0,0,2,1,1,1,1,1
