GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shortUrlTest/shorturlimpl,com.hongshang.shorturlimpl,ShortUrlService,0,59,1,7,0,15,1,6,0,3
shortUrlTest/common,com.hongshang.common,ComResult,89,158,32,6,0,14,19,16,0,16
shortUrlTest/common,com.hongshang.common,BaseHolder,0,16,0,0,0,6,0,5,0,5
shortUrlTest/shorturlmodel,com.hongshang.shorturlmodel.impl,UrlDao,7,94,2,6,2,22,2,9,0,7
shortUrlTest/shorturlmodel,com.hongshang.shorturlmodel.impl,SnowFlake,8,109,4,12,2,23,4,8,0,4
shortUrlTest/shorturlmodel,com.hongshang.shorturlmodel.impl,SnowflakeGetShortStrStrategy,0,355,1,5,0,18,1,7,0,5
shortUrlTest/shorturlmodel,com.hongshang.shorturlmodel.po,AddrUrlPo,22,104,12,10,0,3,10,10,0,9
shortUrlTest/shorturlweb,com.hongshang.shorturlweb,ShortUrlControl,0,69,0,6,0,25,0,6,0,3
shortUrlTest/shorturlweb,com.hongshang.shorturlweb,SwaggerConfig,0,39,0,0,0,14,0,2,0,2
shortUrlTest/shorturlweb,com.hongshang,ShorturlwebApplication.new Runnable() {...},9,6,0,0,3,1,1,1,1,1
shortUrlTest/shorturlweb,com.hongshang,ShorturlwebApplication,0,38,0,0,0,11,0,3,0,3
