GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
interview-assignments,com.example.util,CacheObject,8,15,0,0,4,6,2,3,2,3
interview-assignments,com.example.util,JedisUtil,251,7,2,0,60,2,11,2,10,2
interview-assignments,com.example.util,IpUtil,73,0,30,0,13,0,17,0,2,0
interview-assignments,com.example.util,ConcurrentMapCache,82,105,16,10,17,22,15,7,4,5
interview-assignments,com.example.util,ValidatorUtil,44,0,6,0,10,0,6,0,3,0
interview-assignments,com.example.util,RandomUtil,11,0,0,0,3,0,2,0,2,0
interview-assignments,com.example.util,ValidatorUtil.ValidatorHolder,4,0,0,0,1,0,1,0,1,0
interview-assignments,com.example.util,LogUtils,11,141,10,26,5,30,11,13,1,5
interview-assignments,com.example.util,ConcurrentMapCache.DeleteTask,13,28,3,3,1,5,2,3,0,2
interview-assignments,com.example.interceptior,SwaggerInterceptor,44,7,6,0,12,2,6,2,3,2
interview-assignments,com.example.interceptior,AccessLimitInterceptor,109,3,10,0,25,1,9,1,4,1
interview-assignments,com.example.interceptior,ApiIdempotentInterceptor,31,3,4,0,12,1,6,1,4,1
interview-assignments,com.example.enums,LocationsEnum,0,24,0,0,0,3,0,1,0,1
interview-assignments,com.example.enums,ApiStatusCode,105,0,0,0,14,0,4,0,4,0
interview-assignments,com.example.bean.mdc,MdcContext,54,24,5,1,17,8,9,4,6,4
interview-assignments,com.example.constants,Constants,3,0,0,0,1,0,1,0,1,0
interview-assignments,com.example.constants,Constants.Redis,4,0,0,0,1,0,1,0,1,0
interview-assignments,com.example.constants,Constants.LogType,7,0,0,0,2,0,1,0,1,0
interview-assignments,com.example.bean.result,ResultRpcEnum,37,264,6,0,8,28,6,4,3,4
interview-assignments,com.example.bean.result,ApiResult,219,0,30,0,19,0,29,0,14,0
interview-assignments,com.example.bean.result,ResultRpc.ResultRpcBuilder,74,0,0,0,1,0,8,0,8,0
interview-assignments,com.example.bean.result,ResultRpc,345,68,46,0,26,17,44,11,21,11
interview-assignments,com.example.exception,BusinessException,320,0,40,0,27,0,41,0,21,0
interview-assignments,com.example,Application,5,3,0,0,2,1,1,1,1,1
interview-assignments,com.example.controller,ShortAddressController,17,3,2,0,5,1,2,1,1,1
interview-assignments,com.example.aspect,PointcutConfiguration,5,0,0,0,3,0,3,0,3,0
interview-assignments,com.example.aspect,ServiceAroundAdvice,109,7,10,0,24,2,10,2,5,2
interview-assignments,com.example.aspect,LogInterceptor,0,16,0,2,0,7,0,3,0,2
interview-assignments,com.example.aspect,Sl4jSurroundLog,4,123,9,13,2,22,10,5,1,3
interview-assignments,com.example.config,SwaggerConfig,0,35,0,0,0,13,0,3,0,3
interview-assignments,com.example.config,InterceptorConfig,0,91,0,0,0,15,0,6,0,6
interview-assignments,com.example.config,JedisConfig,0,32,0,0,0,6,0,2,0,2
interview-assignments,com.example.service.business,MD5BaseShortUrlService,15,105,5,7,4,20,5,4,0,3
interview-assignments,com.example.service.business,AbstractMapStoreShortUrlService,7,107,2,2,4,29,2,6,0,6
interview-assignments,com.example.service.business,ShortUrlService,0,252,0,0,0,1,0,1,0,1
interview-assignments,com.example.service.impl,TokenServiceImpl,74,3,8,0,16,1,6,1,2,1
interview-assignments,com.example.service.impl,ShortAddressServiceImpl,30,41,1,3,7,13,1,5,0,4
